"check","question","reads","result","verdict","explore"
"A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"A3","Every endpoint survived","both","5 of 5","pass","compare_pmx_distributions(source, synthetic, roles)"
"A4","Cohort size survived","both","60 -> 60","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"A5a","Observations per patient","both","61.7 -> 61.7","pass","compare_pmx_distributions(source, synthetic, roles)"
"A5b","Doses per patient","both","5 -> 5","pass","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"A6","Discrete endpoints keeping their source scale","both","3 of 3","pass","pmx_endpoint_types(source, roles)"
"B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"B3","Adversarial accuracy inside its null interval","both","0.633 above [0.333, 0.630]","pass","compare_pmx_proximity(source, synthetic, roles)"
"B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"B5","Rare source levels copied into the output","both","0 of 0 exposed","pass","compare_pmx_rare_levels(source, synthetic, roles)"
"C1","Strata keeping their source size","both","6 of 6","pass","compare_pmx_strata_sizes(source, synthetic, roles)"
"C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"C3","Arms keeping their source endpoints","both","6 of 6","pass","compare_pmx_strata_endpoints(source, synthetic, roles)"
"D1","Values landing in the same range","both","sd x0.85 on WEIGHTB (furthest of 6)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
