"Dataset","Patients","Design feature"
"case1_pkpd",180,"Multiple arms; censored concentrations"
"mad",60,"Multiple doses; mixed endpoint types (continuous, categorical)"
"warfarin",32,"Single oral dose; delayed response"
"wbcSim",45,"Infusions; white-cell nadir and recovery"
"mavoglurant",120,"Repeated occasions; resetting clock"
"theo_md",12,"Repeated oral doses; small cohort"
"nimoData",12,"Weekly infusions; small cohort"
"pheno_sd",59,"Neonatal care; sparse, irregular sampling"
"mixroute_sim",90,"Intravenous and subcutaneous dosing"
"onc_sim",200,"Trough sampling; tumour response; dose changes"
