"Dataset","check","question","reads","result","verdict","explore"
"case1_pkpd","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"case1_pkpd","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"case1_pkpd","A3","Every endpoint survived","both","2 of 2","pass","compare_pmx_distributions(source, synthetic, roles)"
"case1_pkpd","A4","Cohort size survived","both","180 -> 180","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"case1_pkpd","A5a","Observations per patient","both","30.7 -> 29","review","compare_pmx_distributions(source, synthetic, roles)"
"case1_pkpd","A5b","Doses per patient","both","70.8 -> 70.8","pass","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"case1_pkpd","A6","Discrete endpoints keeping their source scale","both","no discrete endpoint","pass","pmx_endpoint_types(source, roles)"
"case1_pkpd","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"case1_pkpd","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"case1_pkpd","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"case1_pkpd","B3","Adversarial accuracy inside its null interval","both","0.639 above [0.433, 0.593]","pass","compare_pmx_proximity(source, synthetic, roles)"
"case1_pkpd","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"case1_pkpd","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"case1_pkpd","B5","Rare source levels copied into the output","both","0 of 0 exposed","pass","compare_pmx_rare_levels(source, synthetic, roles)"
"case1_pkpd","C1","Strata keeping their source size","both","6 of 6","pass","compare_pmx_strata_sizes(source, synthetic, roles)"
"case1_pkpd","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"case1_pkpd","C3","Arms keeping their source endpoints","both","6 of 6","pass","compare_pmx_strata_endpoints(source, synthetic, roles)"
"case1_pkpd","D1","Values landing in the same range","both","sd x0.88 on PK Concentration (furthest of 3)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"case1_pkpd","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"case1_pkpd","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"mad","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"mad","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"mad","A3","Every endpoint survived","both","5 of 5","pass","compare_pmx_distributions(source, synthetic, roles)"
"mad","A4","Cohort size survived","both","60 -> 60","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"mad","A5a","Observations per patient","both","61.7 -> 61.7","pass","compare_pmx_distributions(source, synthetic, roles)"
"mad","A5b","Doses per patient","both","5 -> 5","pass","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"mad","A6","Discrete endpoints keeping their source scale","both","3 of 3","pass","pmx_endpoint_types(source, roles)"
"mad","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"mad","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"mad","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"mad","B3","Adversarial accuracy inside its null interval","both","0.633 above [0.333, 0.630]","pass","compare_pmx_proximity(source, synthetic, roles)"
"mad","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
"mad","B4b","Generated DV vectors copying an exposed real one","both","0","pass","compare_pmx_proximity(source, synthetic, roles)"
"mad","B5","Rare source levels copied into the output","both","0 of 0 exposed","pass","compare_pmx_rare_levels(source, synthetic, roles)"
"mad","C1","Strata keeping their source size","both","6 of 6","pass","compare_pmx_strata_sizes(source, synthetic, roles)"
"mad","C2","Distinct dose-time schedules represented","run settings","no run record","not applicable","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"mad","C3","Arms keeping their source endpoints","both","6 of 6","pass","compare_pmx_strata_endpoints(source, synthetic, roles)"
"mad","D1","Values landing in the same range","both","sd x0.85 on WEIGHTB (furthest of 6)","review","compare_pmx_distributions(source, synthetic, roles, output = ""tables"")"
"mad","E1","Fitted parameters moved off their starting values","fitted model","moved (1 model(s))","pass","model_report(attr(synthetic, ""pmx_fitted_model""))"
"mad","E2","Between-subject terms were estimated, not left at their start","fitted model","estimated","pass","model_parameters(attr(synthetic, ""pmx_fitted_model""))$omega"
"warfarin","A1","Synthetic table is a legal PMX dataset","synthetic","TRUE","pass","validate_pmx(synthetic, roles)"
"warfarin","A2","Source is legal under the declared roles","source","TRUE","pass","validate_pmx(source, roles, strict = FALSE)"
"warfarin","A3","Every endpoint survived","both","2 of 2","pass","compare_pmx_distributions(source, synthetic, roles)"
"warfarin","A4","Cohort size survived","both","32 -> 32","pass","pmx_masking_report(synthetic, source, roles, section = ""anchors"")"
"warfarin","A5a","Observations per patient","both","15.1 -> 14.9","pass","compare_pmx_distributions(source, synthetic, roles)"
"warfarin","A5b","Doses per patient","both","1 -> 1","pass","pmx_masking_report(synthetic, source, roles, section = ""dose_schedules"")"
"warfarin","A6","Discrete endpoints keeping their source scale","both","1 of 1","pass","pmx_endpoint_types(source, roles)"
"warfarin","B1a","Avatars with a visit set nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"warfarin","B1b","Avatars with a dose schedule nobody else shares","run settings","no run record","not applicable","unmaskable_strata(source, roles)"
"warfarin","B2","Synthetic patients unusual within their stratum","synthetic","not applicable: profiles simulated, not built from a patient","not applicable","flag_identifiable_subjects(synthetic, roles)"
"warfarin","B3","Adversarial accuracy inside its null interval","both","0.625 in [0.320, 0.712]","pass","compare_pmx_proximity(source, synthetic, roles)"
"warfarin","B4a","Generated time vectors copying an exposed real one","both","not applicable: attendance drawn per visit","not applicable","compare_pmx_proximity(source, synthetic, roles)"
